"","logFC","logCPM","LR","PValue","FDR"
"oases3_CL82Contig5_2",-5.61644626943442,4.63016085908113,25.0905357888817,5.47006706534824e-07,0.000229527329254173
"oases3_k25_Locus_7887_Transcript_7_1",5.59698180343846,5.61422991265672,24.9826521029067,5.78484771747711e-07,0.000239112795056435
"oases6_CL3624Contig1_1",-5.46429330212038,5.73619238826759,24.9420772297736,5.90788134817358e-07,0.000240607155965175
"oases3_k49_Locus_515_Transcript_3_1",4.86351910105752,7.37035722839796,24.7337763960935,6.58205092806757e-07,0.000264178722321599
"oases6_k25_Locus_53766_Transcript_1_1",10.2254352922273,3.63905594533736,24.6217533774933,6.97597953284394e-07,0.000273500888645335
"oases3_k37_Locus_17233_Transcript_10_1",5.70723651737101,6.85883452779401,24.5996929835097,7.0562975350303e-07,0.000273500888645335
"oases3_CL38Contig2_1",-6.08279749840967,4.13710288444053,24.5797456358743,7.12972029203882e-07,0.000273500888645335
"oases3_k49_Locus_23703_Transcript_3_1",-6.95768303936893,3.82785142131298,24.5583443672982,7.20934674337744e-07,0.000273500888645335
"oases2_CL47Contig3_1",-6.33447674876405,3.74421368223719,24.5053005179002,7.41056920782461e-07,0.000277335545461479
"oases3_CL240Contig4_1",-5.23307295205436,5.65707745948637,24.4511832348413,7.62166892466592e-07,0.000281432665599597
"oases6_CL5Contig2_1",-5.24063597495789,5.62231170899262,24.3452451956631,8.0525260331816e-07,0.000293429810477541
"oases2_CL37Contig6_1",-5.00061112515868,5.52759983405304,24.2674803761606,8.38427026247606e-07,0.000301550624219496
"oases3_k37_Locus_13938_Transcript_9_1",7.09033289520045,4.92064705702869,24.1543256323407,8.89162246835651e-07,0.000315698195690596
"oases6_k25_Locus_4893_Transcript_11_2",5.36866476982615,4.93622204403112,24.1038594399338,9.1277174606414e-07,0.000319257063144262
"oases3_CL920Contig2_1",-4.62654063054179,7.72578648061334,24.0769161418802,9.25632939114472e-07,0.000319257063144262
"oases6_CL76Contig2_1",-6.37008597587891,3.95403325315593,24.0529071384928,9.37246508916266e-07,0.000319257063144262
"oases2_CL193Contig1_1",-4.48496436216889,7.09395030043518,24.0364368408671,9.45297868774083e-07,0.000319257063144262
"oases6_CL1Contig3_1",-4.85539373704428,4.86078393336398,24.0035611807913,9.61576836557818e-07,0.000320571263121238
"oases2_k49_Locus_3110_Transcript_3_1",-9.3110270854275,2.81216504263399,23.9709249188483,9.78015326008095e-07,0.000320571263121238
"oases2_CL241Contig1_1",-5.99644008213064,3.77305806781899,23.9418361512283,9.92904377013588e-07,0.000320571263121238
"oases3_CL109Contig5_1",-9.40188028279281,3.47971513596264,23.936827231375,9.9549103157458e-07,0.000320571263121238
"oases2_CL332Contig1_1",-4.33312665060475,4.83859172712732,23.8756949368435,1.02761023065316e-06,0.000324831247195501
"oases3_CL6Contig29_1",-5.66479869885717,5.11359977064479,23.8671562893713,1.03217844129429e-06,0.000324831247195501
"oases2_CL157Contig2_1",-5.17631494781324,4.00589959552956,23.6835304704708,1.13550128783661e-06,0.000353332277138733
"oases3_CL211Contig5_1",-7.05548478837286,3.7258174886637,23.6288371107024,1.16823626431184e-06,0.000359479278931691
"oases3_k37_Locus_35862_Transcript_1_1",6.09783346409495,8.254006839832,23.5960702886386,1.18829945267811e-06,0.000361634780686456
"oases3_CL4364Contig1_1",-4.75667071442842,5.00820198537307,23.5663529361024,1.20679411643364e-06,0.000362839004017542
"oases2_CL66Contig1_1",-4.93588764857026,4.13555305197928,23.5387589610601,1.22422568726956e-06,0.000362839004017542
"oases2_CL271Contig1_1",-6.08320595711852,4.95736138231075,23.5179872894915,1.23751389423514e-06,0.000362839004017542
"oases6_k31_Locus_36807_Transcript_2_1",4.72533468753627,6.78065143687742,23.506903946741,1.24466329824751e-06,0.000362839004017542
"oases2_CL1Contig12_1",-4.6473063262891,5.08150898259753,23.4491787935376,1.28257460570878e-06,0.000369996053442696
"oases3_k31_Locus_23681_Transcript_1_1",-8.61926687595382,2.4828041333137,23.370521899048,1.33610416428244e-06,0.000377262984560563
"oases6_CL1882Contig1_1",-5.37012978507201,4.82757389314997,23.3531896706751,1.34819760151501e-06,0.000377262984560563
"oases3_CL127Contig1_1",-5.92337456153104,5.59868235607837,23.352568924168,1.34863275335797e-06,0.000377262984560563
"oases3_k37_Locus_12575_Transcript_7_3",4.92511362082554,4.86632181381901,23.2835346733502,1.39791624460137e-06,0.000384162321068846
"oases2_CL8663Contig1_1",-8.77197840816536,2.80053246484055,23.257217018358,1.41717645670101e-06,0.000384162321068846
"oases2_CL3731Contig1_1",-5.10575822957761,5.09702661273134,23.2563063394324,1.41784766775957e-06,0.000384162321068846
"oases2_CL72Contig4_1",-5.98116481649656,4.31524068178947,23.2415300808067,1.42878309634185e-06,0.000384162321068846
"oases3_CL331Contig1_1",-5.91753138606908,3.41064228270249,23.151759155619,1.49706185352008e-06,0.000398650297801781
"oases3_CL9Contig34_1",-5.77466595043204,3.9551597026506,23.0871962163348,1.54818224287828e-06,0.000404410365689426
"oases6_CL3Contig20_1",-4.69401852815908,6.94089353681141,23.0696272147456,1.56239382029548e-06,0.000404410365689426
"oases6_CL30Contig2_2",-5.27051921972016,4.48932121252228,23.0694950382654,1.56250123235245e-06,0.000404410365689426
"TRINITY_DN42204_c2_g4_i6",-7.10407553005908,3.71738687346103,23.0123429668193,1.60964630348325e-06,0.000409568146919048
"oases3_CL5Contig29_1",-5.66537239424086,5.0654693911651,23.004085853595,1.61657460701953e-06,0.000409568146919048
"oases2_k43_Locus_6879_Transcript_1_1",-5.00045787615724,4.28089406583533,22.9906640083403,1.62790037174006e-06,0.000409568146919048
"oases2_CL10170Contig1_1",-4.91317591660548,4.69644134171475,22.9593349332137,1.65464748957618e-06,0.000409568146919048
"oases2_k49_Locus_1977_Transcript_2_1",-8.80786789277786,2.46204742710849,22.9573296912239,1.65637439354854e-06,0.000409568146919048
